['1', [55728, 55729]]
['1', [55731, 55732]]
['1', [55738, 55739]]
['1', [55764, 55765]]
['1', [55783, 55784]]
['1', [55805, 55806]]
['1', [55903, 55904]]
['1', [55924, 55925]]
['1', [55995, 55996]]
['1', [56006, 56007]]
['1', [56014, 56015]]
['1', [56016, 56017]]
['1', [56017, 56018]]
['1', [56130, 56131]]
['1', [56291, 56292]]
['1', [56443, 56444]]
['1', [56467, 56468]]
['1', [56507, 56508]]
['1', [56519, 56520]]
['1', [56532, 56533]]
['1', [56600, 56601]]
['1', [56602, 56603]]
['1', [56623, 56624]]
['1', [56625, 56626]]
['1', [56652, 56653]]
['1', [56660, 56661]]
['1', [56678, 56679]]
['1', [56711, 56712]]
['1', [56731, 56732]]
['1', [56744, 56745]]
['1', [56757, 56758]]
['1', [56796, 56797]]
['1', [56809, 56810]]
['1', [56822, 56823]]
['1', [56846, 56847]]
['1', [56854, 56855]]
['1', [56861, 56862]]
['1', [56874, 56875]]
['1', [56887, 56888]]
['1', [56922, 56923]]
