['d', [10379, 10380]]
['d', [10421, 10422]]
['d', [10444, 10445]]
['d', [10466, 10467]]
['d', [10499, 10500]]
['d', [10531, 10532]]
['d', [10545, 10546]]
['d', [10556, 10557]]
['d', [10577, 10578]]
['d', [10591, 10592]]
['d', [10602, 10603]]
['d', [10620, 10621]]
['d', [10626, 10627]]
['d', [10643, 10644]]
['d', [10721, 10722]]
['d', [10740, 10741]]
['d', [10769, 10770]]
['d', [10796, 10797]]
['d', [10800, 10801]]
['d', [10828, 10829]]
['d', [10845, 10846]]
['d', [10917, 10918]]
['d', [10935, 10936]]
['d', [10995, 10996]]
['d', [11006, 11007]]
['d', [11016, 11017]]
['d', [11075, 11076]]
['d', [11092, 11093]]
['d', [11106, 11107]]
['d', [11109, 11110]]
['d', [11116, 11117]]
['d', [11155, 11156]]
['d', [11168, 11169]]
['d', [11177, 11178]]
['d', [11194, 11195]]
['d', [11198, 11199]]
['d', [11210, 11211]]
['d', [11232, 11233]]
['d', [11254, 11255]]
['d', [11271, 11272]]
