['\\[', [49013, 49015]]
['\\[', [49048, 49050]]
['144', [44870, 44873]]
['144', [48898, 48901]]
['\xe2\x80\x93', [2888, 2891]]
['\xe2\x80\x93', [3668, 3671]]
['\xe2\x80\x93', [4423, 4426]]
['\xe2\x80\x93', [6329, 6332]]
['\xe2\x80\x93', [20495, 20498]]
['\xe2\x80\x93', [26116, 26119]]
['\xe2\x80\x93', [41123, 41126]]
['\xe2\x80\x93', [43802, 43805]]
['\xe2\x80\x93', [44758, 44761]]
['\xe2\x80\x93', [44797, 44800]]
['\xe2\x80\x93', [44827, 44830]]
['\xe2\x80\x93', [44874, 44877]]
['\xe2\x80\x93', [44898, 44901]]
['\xe2\x80\x93', [44963, 44966]]
['\xe2\x80\x93', [44991, 44994]]
['\xe2\x80\x93', [45151, 45154]]
['\xe2\x80\x93', [47830, 47833]]
['\xe2\x80\x93', [48786, 48789]]
['\xe2\x80\x93', [48825, 48828]]
['\xe2\x80\x93', [48855, 48858]]
['\xe2\x80\x93', [48902, 48905]]
['\xe2\x80\x93', [48926, 48929]]
['\xe2\x80\x93', [48991, 48994]]
['\xe2\x80\x93', [49019, 49022]]
['147', [44878, 44881]]
['147', [48906, 48909]]
['\\]', [2894, 2896]]
['\\]', [3161, 3163]]
['\\]', [3675, 3677]]
['\\]', [4430, 4432]]
['\\]', [4876, 4878]]
['\\]', [6403, 6405]]
['\\]', [6722, 6724]]
['\\]', [7091, 7093]]
['\\]', [7278, 7280]]
['\\]', [7575, 7577]]
['\\]', [8531, 8533]]
['\\]', [8668, 8670]]
['\\]', [9051, 9053]]
['\\]', [9209, 9211]]
['\\]', [9332, 9334]]
['\\]', [9394, 9396]]
['\\]', [9713, 9715]]
['\\]', [9833, 9835]]
['\\]', [10242, 10244]]
['\\]', [10454, 10456]]
['\\]', [14089, 14091]]
['\\]', [17274, 17276]]
['\\]', [20569, 20571]]
['\\]', [20888, 20890]]
['\\]', [21256, 21258]]
['\\]', [21443, 21445]]
['\\]', [21740, 21742]]
['\\]', [22696, 22698]]
['\\]', [22833, 22835]]
['\\]', [23216, 23218]]
['\\]', [23374, 23376]]
['\\]', [23497, 23499]]
['\\]', [23559, 23561]]
['\\]', [23878, 23880]]
['\\]', [23998, 24000]]
['\\]', [24407, 24409]]
['\\]', [24619, 24621]]
['\\]', [26190, 26192]]
['\\]', [26509, 26511]]
['\\]', [26877, 26879]]
