['t', [182, 183]]
['t', [186, 187]]
['t', [190, 191]]
['t', [194, 195]]
['t', [205, 206]]
['t', [266, 267]]
['t', [278, 279]]
['t', [286, 287]]
['t', [290, 291]]
['t', [300, 301]]
['t', [321, 322]]
['t', [341, 342]]
['t', [351, 352]]
['t', [359, 360]]
['t', [365, 366]]
['t', [381, 382]]
['t', [395, 396]]
['t', [404, 405]]
['t', [409, 410]]
['t', [433, 434]]
['t', [435, 436]]
['t', [444, 445]]
['t', [458, 459]]
['t', [462, 463]]
['t', [466, 467]]
['t', [486, 487]]
['t', [500, 501]]
['t', [504, 505]]
['t', [511, 512]]
['t', [561, 562]]
['t', [582, 583]]
['t', [586, 587]]
['t', [599, 600]]
['t', [602, 603]]
['t', [624, 625]]
['t', [633, 634]]
['t', [638, 639]]
['t', [677, 678]]
['t', [683, 684]]
['t', [685, 686]]
['t', [688, 689]]
['t', [700, 701]]
['t', [704, 705]]
['t', [705, 706]]
['t', [711, 712]]
['t', [727, 728]]
['t', [783, 784]]
['t', [813, 814]]
['t', [822, 823]]
['t', [826, 827]]
['t', [847, 848]]
['t', [851, 852]]
['t', [854, 855]]
['t', [857, 858]]
['t', [861, 862]]
['t', [873, 874]]
['t', [890, 891]]
['t', [894, 895]]
['t', [913, 914]]
['t', [932, 933]]
['t', [952, 953]]
['t', [968, 969]]
['t', [985, 986]]
['t', [995, 996]]
['t', [1005, 1006]]
['t', [1014, 1015]]
['t', [1018, 1019]]
['t', [1022, 1023]]
['t', [1034, 1035]]
['t', [1040, 1041]]
['t', [1045, 1046]]
['t', [1069, 1070]]
['t', [1075, 1076]]
['t', [1082, 1083]]
['t', [1097, 1098]]
['t', [1102, 1103]]
['t', [1109, 1110]]
['t', [1119, 1120]]
['t', [1123, 1124]]
['t', [1129, 1130]]
['t', [1161, 1162]]
['t', [1163, 1164]]
['t', [1167, 1168]]
['t', [1171, 1172]]
['t', [1219, 1220]]
['t', [1253, 1254]]
['t', [1261, 1262]]
['t', [1264, 1265]]
['t', [1277, 1278]]
['t', [1287, 1288]]
['t', [1296, 1297]]
['t', [1304, 1305]]
['t', [1316, 1317]]
['t', [1335, 1336]]
['t', [1345, 1346]]
['t', [1354, 1355]]
['t', [1358, 1359]]
['t', [1361, 1362]]
['t', [1376, 1377]]
['t', [1419, 1420]]
['t', [1426, 1427]]
['t', [1445, 1446]]
['t', [1480, 1481]]
['t', [1490, 1491]]
['t', [1494, 1495]]
['t', [1496, 1497]]
['t', [1506, 1507]]
['t', [1517, 1518]]
['t', [1543, 1544]]
['t', [1552, 1553]]
['t', [1558, 1559]]
['t', [1562, 1563]]
['t', [1569, 1570]]
['t', [1577, 1578]]
['t', [1585, 1586]]
['t', [1588, 1589]]
['t', [1590, 1591]]
['t', [1621, 1622]]
['t', [1633, 1634]]
['t', [1636, 1637]]
['t', [1647, 1648]]
['t', [1650, 1651]]
['t', [1665, 1666]]
['t', [1667, 1668]]
['t', [1670, 1671]]
['t', [1672, 1673]]
['t', [1681, 1682]]
['t', [1700, 1701]]
['t', [1709, 1710]]
['t', [1713, 1714]]
['t', [1739, 1740]]
['t', [1747, 1748]]
['t', [1751, 1752]]
['t', [1754, 1755]]
['t', [1773, 1774]]
['t', [1779, 1780]]
['t', [1783, 1784]]
['t', [1793, 1794]]
['t', [1804, 1805]]
['t', [1812, 1813]]
['t', [1833, 1834]]
['t', [1837, 1838]]
['t', [1845, 1846]]
['t', [1851, 1852]]
['t', [1878, 1879]]
['t', [1880, 1881]]
['t', [1894, 1895]]
['t', [1923, 1924]]
['t', [1935, 1936]]
['t', [1941, 1942]]
['t', [1997, 1998]]
['t', [2000, 2001]]
['t', [2008, 2009]]
['t', [2019, 2020]]
['t', [2081, 2082]]
['t', [2134, 2135]]
['t', [2146, 2147]]
['t', [2155, 2156]]
['t', [2158, 2159]]
['t', [2162, 2163]]
['t', [2165, 2166]]
['t', [2202, 2203]]
['t', [2216, 2217]]
['t', [2226, 2227]]
['t', [2236, 2237]]
['t', [2243, 2244]]
['t', [2246, 2247]]
['t', [2270, 2271]]
